,mean,std,min,25%,50%,75%,max
bmi_1_correctness,4.0,0.7745966692414834,3.0,3.5,4.0,4.5,5.0
bmi_2_correctness,3.4545454545454546,1.0357254813546264,2.0,3.0,3.0,4.0,5.0
bmi_3_correctness,4.0,0.8944271909999159,3.0,3.0,4.0,5.0,5.0
bmi_4_correctness,4.0,0.8944271909999159,3.0,3.0,4.0,5.0,5.0
bmi_5_correctness,3.5454545454545454,1.2933395813657267,1.0,3.0,4.0,4.5,5.0
combined,3.8,0.9888264649460884,1.0,3.0,4.0,5.0,5.0
