,mean,std,min,25%,50%,75%,max
bmi_1_clarity,3.8181818181818183,0.8738628975053029,2.0,3.5,4.0,4.0,5.0
bmi_2_clarity,3.272727272727273,1.1908743922772957,2.0,2.0,3.0,4.0,5.0
bmi_3_clarity,3.909090909090909,1.044465935734187,2.0,3.0,4.0,5.0,5.0
bmi_4_clarity,3.909090909090909,1.044465935734187,2.0,3.0,4.0,5.0,5.0
bmi_5_clarity,3.8181818181818183,1.0787197799411874,1.0,4.0,4.0,4.0,5.0
combined,3.7454545454545456,1.0402667360609401,1.0,3.0,4.0,4.5,5.0
