,mean,std,min,25%,50%,75%,max
date_1_correctness,2.272727272727273,1.2720777563426766,1.0,1.0,2.0,3.0,5.0
date_2_correctness,3.1818181818181817,1.0787197799411874,1.0,3.0,3.0,4.0,5.0
date_3_correctness,4.2727272727272725,0.7862453931068965,3.0,4.0,4.0,5.0,5.0
date_4_correctness,4.0,0.7745966692414834,3.0,3.5,4.0,4.5,5.0
date_5_correctness,3.727272727272727,1.009049958219026,2.0,3.0,4.0,4.5,5.0
combined,3.4909090909090907,1.1998877613054646,1.0,3.0,4.0,4.0,5.0
