,mean,std,min,25%,50%,75%,max
date_1_completeness,3.0,0.8944271909999159,2.0,2.5,3.0,3.0,5.0
date_2_completeness,3.272727272727273,1.009049958219026,2.0,2.5,3.0,4.0,5.0
date_3_completeness,3.727272727272727,1.1037127426019047,2.0,3.0,4.0,4.5,5.0
date_4_completeness,3.909090909090909,0.9438798074485389,2.0,3.5,4.0,4.5,5.0
date_5_completeness,3.5454545454545454,1.1281521496355325,2.0,3.0,3.0,4.5,5.0
combined,3.4909090909090907,1.0340987715688814,2.0,3.0,3.0,4.0,5.0
