,mean,std,min,25%,50%,75%,max
bytecnt_1_completeness,3.9285714285714284,1.071611705960535,2.0,3.0,4.0,5.0,5.0
bytecnt_2_completeness,3.642857142857143,1.0082080720186268,2.0,3.0,4.0,4.0,5.0
bytecnt_3_completeness,3.5714285714285716,1.0163498575623617,2.0,3.0,3.5,4.0,5.0
bytecnt_4_completeness,3.4285714285714284,1.1578684470436789,2.0,2.25,3.5,4.0,5.0
bytecnt_5_completeness,3.142857142857143,1.167320591199077,1.0,2.25,3.0,4.0,5.0
combined,3.5428571428571427,1.0859539890126968,1.0,3.0,3.5,4.0,5.0
